MESS_DATUM,prec_mm,prec_bool,prec_type,humidity,temp,radiation,wind_degree,wind_speed,air_pressure
2023010100,0.0,0,0,60.0,16.1,0.0,220.0,6.2,1010.7
2023010101,0.0,0,0,56.0,16.1,0.0,220.0,6.2,1011.4
2023010102,0.0,0,0,53.0,16.1,0.0,220.0,6.1,1011.6
2023010103,0.0,0,0,53.0,16.0,0.0,220.0,6.0,1011.5
2023010104,0.0,0,0,55.0,15.3,0.0,210.0,5.7,1011.6
2023010105,0.0,0,0,55.0,15.1,0.0,210.0,5.6,1012.4
2023010106,0.0,0,0,55.0,15.3,0.0,210.0,6.3,1012.5
2023010107,0.0,0,0,56.0,15.1,0.0,220.0,6.2,1012.9
2023010108,0.0,0,0,55.0,15.3,0.0,220.0,6.3,1013.5
2023010109,0.0,0,0,56.0,15.4,3.0,220.0,6.5,1014.3
2023010110,0.0,0,0,57.0,15.5,10.0,220.0,7.3,1014.9
2023010111,0.0,0,0,57.0,15.8,30.0,230.0,7.1,1015.4
2023010112,0.0,0,0,55.0,16.0,35.0,240.0,6.5,1015.5
2023010113,0.0,0,0,57.0,15.8,36.0,230.0,5.9,1015.7
2023010114,0.0,0,0,61.0,15.2,33.0,220.0,4.6,1016.6
2023010115,0.0,0,0,64.0,14.7,17.0,220.0,4.0,1017.0
2023010116,0.0,0,0,67.0,14.2,4.0,230.0,3.2,1017.7
2023010117,0.0,0,0,75.0,12.3,0.0,250.0,2.0,1018.0
2023010118,0.0,0,0,81.0,11.2,0.0,220.0,0.8,1018.4
2023010119,0.0,0,0,76.0,11.9,0.0,190.0,1.8,1018.5
2023010120,0.0,0,0,70.0,13.0,0.0,200.0,2.3,1018.5
2023010121,0.0,0,0,72.0,12.5,0.0,190.0,2.2,1018.0
2023010122,0.0,1,6,76.0,12.1,0.0,180.0,2.1,1017.9
2023010123,0.0,1,6,75.0,12.3,0.0,190.0,2.4,1017.8
2023010200,0.0,0,0,75.0,12.1,0.0,170.0,1.8,1016.9
2023010201,0.0,1,6,78.0,11.8,0.0,160.0,2.4,1016.1
2023010202,0.0,1,6,77.0,11.9,0.0,160.0,2.2,1015.7
2023010203,0.0,1,6,74.0,12.3,0.0,160.0,2.6,1014.6
2023010204,0.0,0,0,68.0,13.3,0.0,170.0,2.6,1014.2
2023010205,0.0,0,0,64.0,13.8,0.0,190.0,3.5,1013.8
2023010206,0.0,1,6,64.0,13.7,0.0,200.0,3.9,1013.8
2023010207,0.0,1,6,63.0,13.8,0.0,190.0,3.6,1013.8
2023010208,0.0,1,6,60.0,14.4,0.0,210.0,3.9,1014.2
2023010209,0.0,0,0,56.0,15.1,4.0,210.0,4.3,1014.3
2023010210,0.0,1,6,53.0,15.7,14.0,210.0,4.6,1014.5
2023010211,0.0,1,6,53.0,15.9,24.0,210.0,5.0,1013.9
2023010212,0.0,1,6,58.0,15.3,16.0,220.0,4.5,1013.8
2023010213,0.0,1,6,56.0,15.5,17.0,220.0,4.8,1014.0
2023010214,0.1,1,6,59.0,14.9,10.0,220.0,5.3,1014.3
2023010215,0.0,1,6,59.0,14.9,11.0,230.0,5.1,1014.7
2023010216,0.0,1,6,62.0,14.3,2.0,260.0,5.9,1015.9
2023010217,0.0,1,6,68.0,13.2,0.0,270.0,7.9,1016.7
2023010218,0.0,1,6,75.0,11.7,0.0,280.0,6.7,1017.5
2023010219,0.0,0,0,70.0,11.4,0.0,270.0,5.6,1018.3
2023010220,0.0,1,6,74.0,10.9,0.0,270.0,5.5,1019.0
2023010221,0.0,1,6,75.0,10.3,0.0,270.0,5.0,1019.7
2023010222,0.0,1,6,78.0,9.7,0.0,270.0,5.3,1020.7
2023010223,0.0,1,6,80.0,9.4,0.0,260.0,4.9,1021.4
2023010300,0.0,0,0,79.0,9.2,0.0,260.0,4.3,1022.1
2023010301,0.0,1,6,78.0,9.1,0.0,260.0,4.7,1022.8
2023010302,0.0,0,0,76.0,8.0,0.0,270.0,5.8,1023.7
2023010303,0.0,0,0,74.0,7.0,0.0,280.0,5.8,1024.3
2023010304,0.0,0,0,78.0,6.5,0.0,270.0,4.3,1024.9
2023010305,0.0,0,0,79.0,5.8,0.0,260.0,3.7,1025.8
2023010306,0.0,0,0,81.0,5.8,0.0,270.0,3.6,1026.3
2023010307,0.0,0,0,82.0,5.3,0.0,260.0,3.9,1026.8
2023010308,0.0,0,0,84.0,5.0,0.0,260.0,3.5,1027.4
2023010309,0.0,0,0,81.0,5.7,9.0,250.0,2.9,1028.0
2023010310,0.0,0,0,74.0,6.5,33.0,260.0,3.3,1028.4
2023010311,0.0,0,0,75.0,6.6,60.0,280.0,4.5,1028.4
2023010312,0.0,0,0,76.0,6.7,,280.0,5.3,1028.2
2023010313,0.0,0,0,73.0,6.8,,290.0,4.8,1028.1
2023010314,0.0,0,0,72.0,6.6,60.0,300.0,4.6,1028.1
2023010315,0.0,0,0,74.0,5.8,38.0,270.0,3.7,1028.3
2023010316,0.0,0,0,78.0,5.3,9.0,260.0,2.1,1028.5
2023010317,0.0,0,0,84.0,2.8,0.0,230.0,1.3,1028.6
2023010318,0.0,0,0,90.0,1.8,0.0,190.0,1.0,1029.0
2023010319,0.0,0,0,90.0,3.3,0.0,170.0,1.9,1028.5
2023010320,0.0,0,0,89.0,3.8,0.0,160.0,1.5,1028.2
2023010321,0.0,1,6,89.0,3.3,0.0,160.0,2.0,1028.0
2023010322,0.0,0,0,90.0,3.6,0.0,170.0,1.6,1027.6
2023010323,0.0,1,6,88.0,4.2,0.0,180.0,1.6,1027.3
2023010400,0.0,0,0,91.0,3.7,0.0,170.0,1.9,1026.6
2023010401,0.0,0,0,91.0,3.4,0.0,170.0,2.5,1025.5
2023010402,0.0,0,0,86.0,4.3,0.0,180.0,3.1,1025.0
2023010403,0.0,0,0,88.0,3.6,0.0,180.0,3.0,1023.6
2023010404,0.0,0,0,89.0,3.2,0.0,170.0,2.5,1022.7
2023010405,0.0,0,0,91.0,2.9,0.0,170.0,2.5,1021.4
2023010406,0.0,0,0,84.0,4.9,0.0,180.0,3.7,1019.6
2023010407,0.0,0,0,78.0,6.1,0.0,190.0,4.6,1018.6
2023010408,0.5,1,6,83.0,6.3,0.0,210.0,5.5,1017.6
2023010409,2.1,1,6,90.0,6.5,1.0,200.0,5.4,1016.4
2023010410,3.0,1,6,92.0,6.8,3.0,210.0,6.1,1015.7
2023010411,2.3,1,6,93.0,7.0,8.0,210.0,6.5,1014.4
2023010412,0.4,1,6,90.0,7.7,8.0,210.0,6.0,1013.2
2023010413,0.9,1,6,90.0,8.1,9.0,220.0,6.6,1012.4
2023010414,1.3,1,6,90.0,8.2,7.0,220.0,7.0,1011.5
2023010415,0.6,1,6,91.0,8.6,10.0,220.0,6.8,1011.1
2023010416,0.0,1,6,88.0,9.1,3.0,220.0,6.6,1010.5
2023010417,0.1,1,6,87.0,9.6,0.0,220.0,7.2,1009.5
2023010418,0.0,1,6,85.0,10.0,0.0,220.0,7.4,1008.6
2023010419,0.0,0,0,83.0,10.2,0.0,230.0,6.1,1008.5
2023010420,0.0,1,6,84.0,10.3,0.0,220.0,5.7,1007.9
2023010421,0.0,1,6,84.0,10.6,0.0,230.0,6.1,1007.5
2023010422,0.8,1,6,90.0,10.1,0.0,240.0,5.8,1007.4
2023010423,4.6,1,6,93.0,9.7,0.0,260.0,4.7,1007.3
2023010500,0.8,1,6,87.0,9.8,0.0,260.0,5.8,1007.1
2023010501,0.0,0,0,84.0,9.9,0.0,270.0,7.6,1007.2
2023010502,0.0,1,6,82.0,10.0,0.0,260.0,7.5,1007.1
2023010503,0.0,1,6,81.0,10.0,0.0,270.0,7.3,1006.8
2023010504,0.0,1,6,78.0,10.1,0.0,270.0,7.9,1006.9
2023010505,0.1,1,6,80.0,10.2,0.0,270.0,8.5,1007.5
