MESS_DATUM,id,Stickstoffdioxid
2023010100,mc010,7.0
2023010101,mc010,19.0
2023010102,mc010,9.0
2023010103,mc010,5.0
2023010104,mc010,6.0
2023010105,mc010,6.0
2023010106,mc010,7.0
2023010107,mc010,8.0
2023010108,mc010,6.0
2023010109,mc010,6.0
2023010110,mc010,6.0
2023010111,mc010,6.0
2023010112,mc010,5.0
2023010113,mc010,5.0
2023010114,mc010,6.0
2023010115,mc010,7.0
2023010116,mc010,8.0
2023010117,mc010,13.0
2023010118,mc010,10.0
2023010119,mc010,38.0
2023010120,mc010,38.0
2023010121,mc010,29.0
2023010122,mc010,21.0
2023010123,mc010,19.0
2023010200,mc010,21.0
2023010201,mc010,17.0
2023010202,mc010,19.0
2023010203,mc010,15.0
2023010204,mc010,12.0
2023010205,mc010,14.0
2023010206,mc010,18.0
2023010207,mc010,22.0
2023010208,mc010,24.0
2023010209,mc010,24.0
2023010210,mc010,23.0
2023010211,mc010,21.0
2023010212,mc010,20.0
2023010213,mc010,19.0
2023010214,mc010,23.0
2023010215,mc010,18.0
2023010216,mc010,14.0
2023010217,mc010,21.0
2023010218,mc010,26.0
2023010219,mc010,23.0
2023010220,mc010,28.0
2023010221,mc010,23.0
2023010222,mc010,28.0
2023010223,mc010,23.0
2023010300,mc010,10.0
2023010301,mc010,7.0
2023010302,mc010,22.0
2023010303,mc010,33.0
2023010304,mc010,32.0
2023010305,mc010,32.0
2023010306,mc010,27.0
2023010307,mc010,30.0
2023010308,mc010,31.0
2023010309,mc010,32.0
2023010310,mc010,30.0
2023010311,mc010,22.0
2023010312,mc010,28.0
2023010313,mc010,30.0
2023010314,mc010,40.0
2023010315,mc010,37.0
2023010316,mc010,43.0
2023010317,mc010,39.0
2023010318,mc010,46.0
2023010319,mc010,61.0
2023010320,mc010,60.0
2023010321,mc010,57.0
2023010322,mc010,42.0
2023010323,mc010,38.0
2023010400,mc010,25.0
2023010401,mc010,21.0
2023010402,mc010,21.0
2023010403,mc010,18.0
2023010404,mc010,15.0
2023010405,mc010,15.0
2023010406,mc010,15.0
2023010407,mc010,20.0
2023010408,mc010,27.0
2023010409,mc010,26.0
2023010410,mc010,25.0
2023010411,mc010,18.0
2023010412,mc010,18.0
2023010413,mc010,18.0
2023010414,mc010,16.0
2023010415,mc010,16.0
2023010416,mc010,12.0
2023010417,mc010,13.0
2023010418,mc010,10.0
2023010419,mc010,9.0
2023010420,mc010,6.0
2023010421,mc010,8.0
2023010422,mc010,7.0
2023010423,mc010,7.0
2023010500,mc010,8.0
2023010501,mc010,12.0
2023010502,mc010,8.0
2023010503,mc010,13.0
2023010504,mc010,12.0
2023010505,mc010,10.0
2023010506,mc010,7.0
2023010507,mc010,11.0
2023010508,mc010,12.0
2023010509,mc010,11.0
2023010510,mc010,8.0
2023010511,mc010,7.0
2023010512,mc010,18.0
2023010513,mc010,20.0
2023010514,mc010,18.0
2023010515,mc010,10.0
2023010516,mc010,8.0
2023010517,mc010,8.0
2023010518,mc010,10.0
2023010519,mc010,8.0
2023010520,mc010,13.0
2023010521,mc010,11.0
2023010522,mc010,10.0
2023010523,mc010,14.0
2023010600,mc010,14.0
2023010601,mc010,32.0
2023010602,mc010,27.0
2023010603,mc010,25.0
2023010604,mc010,21.0
2023010605,mc010,23.0
2023010606,mc010,20.0
2023010607,mc010,23.0
2023010608,mc010,32.0
2023010609,mc010,33.0
2023010610,mc010,33.0
2023010611,mc010,32.0
2023010612,mc010,28.0
2023010613,mc010,28.0
2023010614,mc010,22.0
2023010615,mc010,18.0
2023010616,mc010,16.0
2023010617,mc010,22.0
2023010618,mc010,32.0
2023010619,mc010,36.0
2023010620,mc010,20.0
2023010621,mc010,22.0
2023010622,mc010,20.0
2023010623,mc010,19.0
2023010700,mc010,27.0
2023010701,mc010,20.0
2023010702,mc010,20.0
2023010703,mc010,22.0
2023010704,mc010,19.0
2023010705,mc010,15.0
2023010706,mc010,18.0
2023010707,mc010,21.0
2023010708,mc010,24.0
2023010709,mc010,25.0
2023010710,mc010,21.0
2023010711,mc010,24.0
2023010712,mc010,22.0
2023010713,mc010,23.0
2023010714,mc010,20.0
2023010715,mc010,25.0
2023010716,mc010,29.0
2023010717,mc010,36.0
2023010718,mc010,32.0
2023010719,mc010,24.0
2023010720,mc010,24.0
2023010721,mc010,24.0
2023010722,mc010,18.0
2023010723,mc010,17.0
2023010800,mc010,19.0
2023010801,mc010,16.0
2023010802,mc010,13.0
2023010803,mc010,13.0
2023010804,mc010,14.0
2023010805,mc010,14.0
2023010806,mc010,15.0
2023010807,mc010,16.0
2023010808,mc010,17.0
2023010809,mc010,17.0
2023010810,mc010,14.0
2023010811,mc010,16.0
2023010812,mc010,16.0
2023010813,mc010,17.0
2023010814,mc010,19.0
2023010815,mc010,21.0
2023010816,mc010,22.0
2023010817,mc010,19.0
2023010818,mc010,21.0
2023010819,mc010,22.0
2023010820,mc010,21.0
2023010821,mc010,21.0
2023010822,mc010,22.0
2023010823,mc010,20.0
2023010900,mc010,19.0
2023010901,mc010,19.0
2023010902,mc010,21.0
2023010903,mc010,23.0
2023010904,mc010,24.0
2023010905,mc010,17.0
2023010906,mc010,20.0
2023010907,mc010,25.0
2023010908,mc010,33.0
2023010909,mc010,35.0
2023010910,mc010,30.0
2023010911,mc010,28.0
2023010912,mc010,23.0
2023010913,mc010,21.0
2023010914,mc010,17.0
2023010915,mc010,22.0
2023010916,mc010,25.0
2023010917,mc010,37.0
2023010918,mc010,43.0
2023010919,mc010,31.0
2023010920,mc010,26.0
2023010921,mc010,17.0
2023010922,mc010,14.0
2023010923,mc010,20.0
2023011000,mc010,12.0
2023011001,mc010,9.0
2023011002,mc010,8.0
2023011003,mc010,12.0
2023011004,mc010,11.0
2023011005,mc010,14.0
2023011006,mc010,23.0
2023011007,mc010,23.0
2023011008,mc010,29.0
2023011009,mc010,34.0
2023011010,mc010,34.0
2023011011,mc010,25.0
2023011012,mc010,24.0
2023011013,mc010,21.0
2023011014,mc010,20.0
2023011015,mc010,24.0
2023011016,mc010,22.0
2023011017,mc010,24.0
2023011018,mc010,28.0
2023011019,mc010,25.0
2023011020,mc010,24.0
2023011021,mc010,22.0
2023011022,mc010,23.0
2023011023,mc010,22.0
2023011100,mc010,13.0
2023011101,mc010,12.0
2023011102,mc010,9.0
2023011103,mc010,8.0
2023011104,mc010,8.0
2023011105,mc010,8.0
2023011106,mc010,12.0
2023011107,mc010,20.0
2023011108,mc010,31.0
2023011109,mc010,32.0
2023011110,mc010,31.0
2023011111,mc010,26.0
2023011112,mc010,27.0
2023011113,mc010,28.0
2023011114,mc010,29.0
2023011115,mc010,29.0
2023011116,mc010,32.0
2023011117,mc010,28.0
2023011118,mc010,20.0
2023011119,mc010,22.0
2023011120,mc010,23.0
2023011121,mc010,14.0
2023011122,mc010,13.0
2023011123,mc010,16.0
2023011200,mc010,17.0
2023011201,mc010,16.0
2023011202,mc010,15.0
2023011203,mc010,15.0
2023011204,mc010,14.0
2023011205,mc010,14.0
2023011206,mc010,15.0
2023011207,mc010,20.0
2023011208,mc010,25.0
2023011209,mc010,32.0
2023011210,mc010,29.0
2023011211,mc010,25.0
2023011212,mc010,21.0
2023011213,mc010,19.0
2023011214,mc010,15.0
2023011215,mc010,15.0
2023011216,mc010,18.0
2023011217,mc010,18.0
2023011218,mc010,16.0
2023011219,mc010,15.0
2023011220,mc010,14.0
2023011221,mc010,14.0
2023011222,mc010,11.0
2023011223,mc010,11.0
2023011300,mc010,10.0
2023011301,mc010,8.0
2023011302,mc010,6.0
2023011303,mc010,6.0
2023011304,mc010,6.0
2023011305,mc010,7.0
2023011306,mc010,10.0
2023011307,mc010,21.0
2023011308,mc010,38.0
2023011309,mc010,30.0
2023011310,mc010,24.0
2023011311,mc010,24.0
2023011312,mc010,17.0
2023011313,mc010,15.0
2023011314,mc010,10.0
2023011315,mc010,11.0
2023011316,mc010,14.0
2023011317,mc010,13.0
2023011318,mc010,11.0
2023011319,mc010,9.0
2023011320,mc010,8.0
2023011321,mc010,7.0
2023011322,mc010,6.0
2023011323,mc010,6.0
2023011400,mc010,6.0
2023011401,mc010,6.0
2023011402,mc010,6.0
2023011403,mc010,5.0
2023011404,mc010,5.0
2023011405,mc010,9.0
2023011406,mc010,6.0
2023011407,mc010,8.0
2023011408,mc010,8.0
2023011409,mc010,10.0
2023011410,mc010,12.0
2023011411,mc010,10.0
2023011412,mc010,12.0
2023011413,mc010,11.0
2023011414,mc010,15.0
2023011415,mc010,19.0
2023011416,mc010,17.0
2023011417,mc010,16.0
2023011418,mc010,15.0
2023011419,mc010,13.0
2023011420,mc010,12.0
2023011421,mc010,13.0
2023011422,mc010,13.0
2023011423,mc010,13.0
2023011500,mc010,14.0
2023011501,mc010,11.0
2023011502,mc010,12.0
2023011503,mc010,9.0
2023011504,mc010,8.0
2023011505,mc010,6.0
2023011506,mc010,3.0
2023011507,mc010,6.0
2023011508,mc010,7.0
2023011509,mc010,9.0
2023011510,mc010,11.0
2023011511,mc010,14.0
2023011512,mc010,9.0
2023011513,mc010,9.0
2023011514,mc010,9.0
2023011515,mc010,6.0
2023011516,mc010,7.0
2023011517,mc010,9.0
2023011518,mc010,16.0
2023011519,mc010,13.0
2023011520,mc010,8.0
2023011521,mc010,7.0
2023011522,mc010,7.0
2023011523,mc010,10.0
2023011600,mc010,8.0
2023011601,mc010,11.0
2023011602,mc010,9.0
2023011603,mc010,13.0
2023011604,mc010,10.0
2023011605,mc010,12.0
2023011606,mc010,17.0
2023011607,mc010,26.0
2023011608,mc010,29.0
2023011609,mc010,31.0
2023011610,mc010,31.0
2023011611,mc010,24.0
2023011612,mc010,19.0
2023011613,mc010,17.0
2023011614,mc010,20.0
2023011615,mc010,26.0
2023011616,mc010,30.0
2023011617,mc010,28.0
2023011618,mc010,28.0
2023011619,mc010,27.0
2023011620,mc010,24.0
2023011621,mc010,20.0
2023011622,mc010,18.0
2023011623,mc010,16.0
2023011700,mc010,12.0
2023011701,mc010,10.0
2023011702,mc010,11.0
2023011703,mc010,11.0
2023011704,mc010,13.0
2023011705,mc010,14.0
2023011706,mc010,16.0
2023011707,mc010,21.0
2023011708,mc010,18.0
2023011709,mc010,20.0
2023011710,mc010,18.0
2023011711,mc010,13.0
2023011712,mc010,12.0
2023011713,mc010,19.0
2023011714,mc010,19.21
2023011715,mc010,15.0
2023011716,mc010,15.0
2023011717,mc010,20.0
2023011718,mc010,39.0
2023011719,mc010,46.0
2023011720,mc010,41.0
2023011721,mc010,47.0
2023011722,mc010,56.0
2023011723,mc010,62.0
2023011800,mc010,63.0
2023011801,mc010,58.0
2023011802,mc010,52.0
2023011803,mc010,48.0
2023011804,mc010,44.0
2023011805,mc010,43.0
2023011806,mc010,42.0
2023011807,mc010,44.0
2023011808,mc010,42.0
2023011809,mc010,42.0
2023011810,mc010,37.0
2023011811,mc010,33.0
2023011812,mc010,29.0
2023011813,mc010,26.0
2023011814,mc010,20.0
2023011815,mc010,33.0
2023011816,mc010,32.0
2023011817,mc010,42.0
2023011818,mc010,39.0
2023011819,mc010,37.0
2023011820,mc010,40.0
2023011821,mc010,43.0
2023011822,mc010,34.0
2023011823,mc010,40.0
2023011900,mc010,36.0
2023011901,mc010,29.0
2023011902,mc010,29.0
2023011903,mc010,27.0
2023011904,mc010,26.0
2023011905,mc010,27.0
2023011906,mc010,29.0
2023011907,mc010,34.0
2023011908,mc010,40.0
2023011909,mc010,41.0
2023011910,mc010,36.0
2023011911,mc010,29.0
2023011912,mc010,24.0
2023011913,mc010,24.0
2023011914,mc010,23.0
2023011915,mc010,23.0
2023011916,mc010,33.0
2023011917,mc010,41.0
2023011918,mc010,42.0
2023011919,mc010,34.0
2023011920,mc010,36.0
2023011921,mc010,31.0
2023011922,mc010,31.0
2023011923,mc010,28.0
2023012000,mc010,23.0
2023012001,mc010,20.0
2023012002,mc010,23.0
2023012003,mc010,11.0
2023012004,mc010,23.0
2023012005,mc010,17.0
2023012006,mc010,24.0
2023012007,mc010,30.0
2023012008,mc010,38.0
2023012009,mc010,41.0
2023012010,mc010,33.0
2023012011,mc010,24.0
2023012012,mc010,18.0
2023012013,mc010,30.0
2023012014,mc010,25.0
2023012015,mc010,31.0
2023012016,mc010,33.0
2023012017,mc010,29.0
2023012018,mc010,38.0
2023012019,mc010,30.0
2023012020,mc010,23.0
2023012021,mc010,16.0
2023012022,mc010,10.0
2023012023,mc010,9.0
2023012100,mc010,9.0
2023012101,mc010,4.0
2023012102,mc010,4.0
2023012103,mc010,4.0
2023012104,mc010,6.0
2023012105,mc010,9.0
2023012106,mc010,10.0
2023012107,mc010,13.0
2023012108,mc010,7.0
2023012109,mc010,7.0
2023012110,mc010,7.0
2023012111,mc010,9.0
2023012112,mc010,9.0
2023012113,mc010,8.0
2023012114,mc010,8.0
2023012115,mc010,8.0
2023012116,mc010,6.0
2023012117,mc010,5.0
2023012118,mc010,6.0
2023012119,mc010,6.0
2023012120,mc010,7.0
2023012121,mc010,6.0
2023012122,mc010,6.0
2023012123,mc010,5.0
2023012200,mc010,5.0
2023012201,mc010,5.0
2023012202,mc010,6.0
2023012203,mc010,7.0
2023012204,mc010,7.0
2023012205,mc010,7.0
2023012206,mc010,8.0
2023012207,mc010,8.0
2023012208,mc010,9.0
2023012209,mc010,8.0
2023012210,mc010,9.0
2023012211,mc010,8.0
2023012212,mc010,8.0
2023012213,mc010,9.0
2023012214,mc010,9.0
2023012215,mc010,10.0
2023012216,mc010,10.0
2023012217,mc010,11.0
2023012218,mc010,11.0
2023012219,mc010,12.0
2023012220,mc010,14.0
2023012221,mc010,15.0
2023012222,mc010,13.0
2023012223,mc010,10.0
2023012300,mc010,9.0
2023012301,mc010,9.0
2023012302,mc010,7.0
2023012303,mc010,7.0
2023012304,mc010,7.0
2023012305,mc010,8.0
2023012306,mc010,10.0
2023012307,mc010,16.0
2023012308,mc010,19.0
2023012309,mc010,22.0
2023012310,mc010,17.0
2023012311,mc010,17.0
2023012312,mc010,16.0
2023012313,mc010,13.0
2023012314,mc010,14.0
2023012315,mc010,14.0
2023012316,mc010,14.0
2023012317,mc010,18.0
2023012318,mc010,20.0
2023012319,mc010,20.0
2023012320,mc010,17.0
2023012321,mc010,16.0
2023012322,mc010,15.0
2023012323,mc010,14.0
2023012400,mc010,12.0
2023012401,mc010,11.0
2023012402,mc010,12.0
2023012403,mc010,9.0
2023012404,mc010,4.0
2023012405,mc010,3.0
2023012406,mc010,7.0
2023012407,mc010,11.0
