id,prop_intercept_200,prop_intercept_50,gvi_25,gvi_50,gvi_100,gvi_200,tvi_25,tvi_50,tvi_100,tvi_200,prop_main_emitter_200,distance_nearest_intersection,distance_nearest_street,population_25,population_50,population_100,population_200
0,MC 042,1.0,1.0,4.05,3.672,3.57,3.171,0.0,0.0,0.0,0.989238281080825,0.11311053984575833,155.0073901423059,154.09674457656666,5.0,80.0,454.0,2984.0
1,MC 124,0.939,0.939,2.521,2.224,2.558,3.589,7.356093883080436,7.878517518682939,8.777857105427168,10.390356898483954,0.08044463551457302,74.62593584104475,10.254152058577835,17.0,81.0,263.0,702.0
2,MC 143,0.983,0.983,1.3,1.446,1.793,1.66,2.272461303228016,4.782302984132451,5.316963377687177,5.356685871076415,0.03974922338527936,33.83042633586323,7.490619262978312,42.0,200.0,694.0,1995.0
3,MC 171,0.764,0.764,0.546,0.499,0.492,0.772,0.0,0.0,2.1048882299658427,6.336192213053841,0.032524809297378214,76.89529863446445,74.31322927051714,23.0,81.0,254.0,787.0
4,MC 174,0.939,0.939,1.012,1.865,2.403,2.275,6.093263171515184,7.654615970607743,8.162585830441447,8.543937962339314,0.028150949839988035,36.32191294671083,16.057955745291366,41.0,169.0,995.0,3698.0
5,MC 190,0.95,0.95,0.292,0.327,0.344,0.472,7.164048055582426,7.540995953026298,7.633030859775668,9.697491748114961,0.05555029828240803,124.5924496785864,8.808253398687985,2.0,21.0,115.0,667.0
6,MC 221,0.95,0.95,0.82,0.962,1.244,1.749,2.6622572219425664,2.87131650245786,3.855697495489171,4.014629116603976,0.029238568734144536,82.57370096096284,10.557239645722886,18.0,170.0,927.0,3687.0
7,MC 145,0.106,0.106,16.366,16.356,16.155,17.965,0.0,0.0,0.0,0.0,0.0,336.0328147867239,300.1678064951607,0.0,0.0,2.0,12.0
8,MC 077,0.269,0.269,18.936,17.993,14.902,14.145,0.0,0.0,1.4490720368024408,2.601384406444557,0.029131099165475953,161.0360306813193,59.25229044132517,0.0,0.0,0.0,0.0
9,MC 010,0.947,0.947,2.714,2.341,2.133,2.418,0.0,1.6458698849702391,5.726343727691866,6.792305977230261,0.03771912925309219,53.321893781787566,41.759902417693255,0.0,3.0,166.0,1585.0
10,MC 018,0.806,0.806,2.052,2.968,3.374,3.692,0.0,0.0,0.0,0.0,0.0,224.50950907535636,224.50950907535636,0.0,5.0,249.0,1663.0
11,MC 115,0.919,0.919,1.186,1.048,0.926,1.584,1.6256567667102504,1.7873860022282246,5.199811652818179,7.92489925054209,0.17999834291274194,11.421479436655243,8.784620870414338,0.0,0.0,3.0,29.0
12,MC 117,0.953,0.953,3.107,2.806,3.021,3.149,5.162297558855271,5.638561322655787,5.746737964245945,7.208831842127544,0.018522072480318078,107.1871924631744,11.285559934744837,38.0,217.0,814.0,2393.0
13,MC 282,0.956,0.956,3.228,3.797,3.803,3.317,0.0,0.0,0.0,0.8113690444309276,0.019629365962072962,106.47285148354693,102.64130368499126,2.0,26.0,161.0,943.0
14,MC 027,0.692,0.692,1.647,1.471,1.511,2.297,0.0,0.0,0.0,0.0,0.0,987.1365959163791,980.8849706925872,1.0,3.0,10.0,19.0
15,MC 032,0.0,0.0,16.615,16.615,16.741,16.048,0.0,0.0,0.0,0.0,0.0,874.0938433802987,862.2803132683036,0.0,0.0,0.0,0.0
