time_step,weekend,rushhour
0,2023010100,1,0
1,2023010101,1,0
2,2023010102,1,0
3,2023010103,1,0
4,2023010104,1,0
5,2023010105,1,0
6,2023010106,1,1
7,2023010107,1,1
8,2023010108,1,1
9,2023010109,1,1
10,2023010110,1,1
11,2023010111,1,1
12,2023010112,1,1
13,2023010113,1,1
14,2023010114,1,1
15,2023010115,1,1
16,2023010116,1,1
17,2023010117,1,1
18,2023010118,1,1
19,2023010119,1,1
20,2023010120,1,1
21,2023010121,1,0
22,2023010122,1,0
23,2023010123,1,0
24,2023010200,0,0
25,2023010201,0,0
26,2023010202,0,0
27,2023010203,0,0
28,2023010204,0,0
29,2023010205,0,0
30,2023010206,0,1
31,2023010207,0,1
32,2023010208,0,1
33,2023010209,0,1
34,2023010210,0,1
35,2023010211,0,1
36,2023010212,0,1
37,2023010213,0,1
38,2023010214,0,1
39,2023010215,0,1
40,2023010216,0,1
41,2023010217,0,1
42,2023010218,0,1
43,2023010219,0,1
44,2023010220,0,1
45,2023010221,0,0
46,2023010222,0,0
47,2023010223,0,0
48,2023010300,0,0
49,2023010301,0,0
50,2023010302,0,0
51,2023010303,0,0
52,2023010304,0,0
53,2023010305,0,0
54,2023010306,0,1
55,2023010307,0,1
56,2023010308,0,1
57,2023010309,0,1
58,2023010310,0,1
59,2023010311,0,1
60,2023010312,0,1
61,2023010313,0,1
62,2023010314,0,1
63,2023010315,0,1
64,2023010316,0,1
65,2023010317,0,1
66,2023010318,0,1
67,2023010319,0,1
68,2023010320,0,1
69,2023010321,0,0
70,2023010322,0,0
71,2023010323,0,0
72,2023010400,0,0
73,2023010401,0,0
74,2023010402,0,0
75,2023010403,0,0
76,2023010404,0,0
77,2023010405,0,0
78,2023010406,0,1
79,2023010407,0,1
80,2023010408,0,1
81,2023010409,0,1
82,2023010410,0,1
83,2023010411,0,1
84,2023010412,0,1
85,2023010413,0,1
86,2023010414,0,1
87,2023010415,0,1
88,2023010416,0,1
89,2023010417,0,1
90,2023010418,0,1
91,2023010419,0,1
92,2023010420,0,1
93,2023010421,0,0
94,2023010422,0,0
95,2023010423,0,0
96,2023010500,0,0
97,2023010501,0,0
98,2023010502,0,0
99,2023010503,0,0
100,2023010504,0,0
101,2023010505,0,0
102,2023010506,0,1
103,2023010507,0,1
104,2023010508,0,1
105,2023010509,0,1
106,2023010510,0,1
107,2023010511,0,1
108,2023010512,0,1
109,2023010513,0,1
110,2023010514,0,1
111,2023010515,0,1
112,2023010516,0,1
113,2023010517,0,1
114,2023010518,0,1
115,2023010519,0,1
116,2023010520,0,1
117,2023010521,0,0
118,2023010522,0,0
119,2023010523,0,0
120,2023010600,0,0
121,2023010601,0,0
122,2023010602,0,0
123,2023010603,0,0
124,2023010604,0,0
125,2023010605,0,0
126,2023010606,0,1
127,2023010607,0,1
128,2023010608,0,1
129,2023010609,0,1
130,2023010610,0,1
131,2023010611,0,1
132,2023010612,0,1
133,2023010613,0,1
134,2023010614,0,1
135,2023010615,0,1
136,2023010616,0,1
137,2023010617,0,1
138,2023010618,0,1
139,2023010619,0,1
140,2023010620,0,1
141,2023010621,0,0
142,2023010622,0,0
143,2023010623,0,0
144,2023010700,0,0
145,2023010701,0,0
146,2023010702,0,0
147,2023010703,0,0
148,2023010704,0,0
149,2023010705,0,0
150,2023010706,0,1
151,2023010707,0,1
152,2023010708,0,1
153,2023010709,0,1
154,2023010710,0,1
155,2023010711,0,1
156,2023010712,0,1
157,2023010713,0,1
158,2023010714,0,1
159,2023010715,0,1
160,2023010716,0,1
161,2023010717,0,1
162,2023010718,0,1
163,2023010719,0,1
164,2023010720,0,1
165,2023010721,0,0
166,2023010722,0,0
167,2023010723,0,0
168,2023010800,0,0
169,2023010801,0,0
170,2023010802,0,0
171,2023010803,0,0
172,2023010804,0,0
173,2023010805,0,0
174,2023010806,0,1
175,2023010807,0,1
176,2023010808,0,1
177,2023010809,0,1
178,2023010810,0,1
179,2023010811,0,1
180,2023010812,0,1
181,2023010813,0,1
182,2023010814,0,1
183,2023010815,0,1
184,2023010816,0,1
185,2023010817,0,1
186,2023010818,0,1
187,2023010819,0,1
188,2023010820,0,1
189,2023010821,0,0
190,2023010822,0,0
191,2023010823,0,0
192,2023010900,0,0
193,2023010901,0,0
194,2023010902,0,0
195,2023010903,0,0
196,2023010904,0,0
197,2023010905,0,0
198,2023010906,0,1
199,2023010907,0,1
200,2023010908,0,1
201,2023010909,0,1
202,2023010910,0,1
203,2023010911,0,1
204,2023010912,0,1
205,2023010913,0,1
206,2023010914,0,1
207,2023010915,0,1
208,2023010916,0,1
209,2023010917,0,1
210,2023010918,0,1
211,2023010919,0,1
212,2023010920,0,1
213,2023010921,0,0
214,2023010922,0,0
215,2023010923,0,0
216,2023011000,0,0
217,2023011001,0,0
218,2023011002,0,0
219,2023011003,0,0
220,2023011004,0,0
221,2023011005,0,0
222,2023011006,0,1
223,2023011007,0,1
224,2023011008,0,1
225,2023011009,0,1
226,2023011010,0,1
227,2023011011,0,1
228,2023011012,0,1
229,2023011013,0,1
230,2023011014,0,1
231,2023011015,0,1
232,2023011016,0,1
233,2023011017,0,1
234,2023011018,0,1
235,2023011019,0,1
236,2023011020,0,1
237,2023011021,0,0
238,2023011022,0,0
239,2023011023,0,0
240,2023011100,0,0
241,2023011101,0,0
242,2023011102,0,0
243,2023011103,0,0
244,2023011104,0,0
245,2023011105,0,0
246,2023011106,0,1
247,2023011107,0,1
248,2023011108,0,1
249,2023011109,0,1
250,2023011110,0,1
251,2023011111,0,1
252,2023011112,0,1
253,2023011113,0,1
254,2023011114,0,1
255,2023011115,0,1
256,2023011116,0,1
257,2023011117,0,1
258,2023011118,0,1
259,2023011119,0,1
260,2023011120,0,1
261,2023011121,0,0
262,2023011122,0,0
263,2023011123,0,0
264,2023011200,0,0
265,2023011201,0,0
266,2023011202,0,0
267,2023011203,0,0
268,2023011204,0,0
269,2023011205,0,0
270,2023011206,0,1
271,2023011207,0,1
272,2023011208,0,1
273,2023011209,0,1
274,2023011210,0,1
275,2023011211,0,1
276,2023011212,0,1
277,2023011213,0,1
278,2023011214,0,1
279,2023011215,0,1
280,2023011216,0,1
281,2023011217,0,1
282,2023011218,0,1
283,2023011219,0,1
284,2023011220,0,1
285,2023011221,0,0
286,2023011222,0,0
287,2023011223,0,0
288,2023011300,0,0
289,2023011301,0,0
290,2023011302,0,0
291,2023011303,0,0
292,2023011304,0,0
293,2023011305,0,0
294,2023011306,0,1
295,2023011307,0,1
296,2023011308,0,1
297,2023011309,0,1
298,2023011310,0,1
299,2023011311,0,1
300,2023011312,0,1
301,2023011313,0,1
302,2023011314,0,1
303,2023011315,0,1
304,2023011316,0,1
305,2023011317,0,1
306,2023011318,0,1
307,2023011319,0,1
308,2023011320,0,1
309,2023011321,0,0
310,2023011322,0,0
311,2023011323,0,0
312,2023011400,0,0
313,2023011401,0,0
314,2023011402,0,0
315,2023011403,0,0
316,2023011404,0,0
317,2023011405,0,0
318,2023011406,0,1
319,2023011407,0,1
320,2023011408,0,1
321,2023011409,0,1
322,2023011410,0,1
323,2023011411,0,1
324,2023011412,0,1
325,2023011413,0,1
326,2023011414,0,1
327,2023011415,0,1
328,2023011416,0,1
329,2023011417,0,1
330,2023011418,0,1
331,2023011419,0,1
332,2023011420,0,1
333,2023011421,0,0
334,2023011422,0,0
335,2023011423,0,0
336,2023011500,0,0
337,2023011501,0,0
338,2023011502,0,0
339,2023011503,0,0
340,2023011504,0,0
341,2023011505,0,0
342,2023011506,0,1
343,2023011507,0,1
344,2023011508,0,1
345,2023011509,0,1
346,2023011510,0,1
347,2023011511,0,1
348,2023011512,0,1
349,2023011513,0,1
350,2023011514,0,1
351,2023011515,0,1
352,2023011516,0,1
353,2023011517,0,1
354,2023011518,0,1
355,2023011519,0,1
356,2023011520,0,1
357,2023011521,0,0
358,2023011522,0,0
359,2023011523,0,0
360,2023011600,0,0
361,2023011601,0,0
362,2023011602,0,0
363,2023011603,0,0
364,2023011604,0,0
365,2023011605,0,0
366,2023011606,0,1
367,2023011607,0,1
368,2023011608,0,1
369,2023011609,0,1
370,2023011610,0,1
371,2023011611,0,1
372,2023011612,0,1
373,2023011613,0,1
374,2023011614,0,1
375,2023011615,0,1
376,2023011616,0,1
377,2023011617,0,1
378,2023011618,0,1
379,2023011619,0,1
